movieId,imdbId,tmdbId
73268,433362,19901.0
73319,1216492,25195.0
73321,1037705,20504.0
73744,1380130,40660.0
73929,1038686,22894.0
74115,1472122,31156.0
74131,1244659,27569.0
74154,1185416,13477.0
74156,1226273,12201.0
74450,817230,32856.0
74452,780653,7978.0
74458,1130884,11324.0
74530,814255,32657.0
74532,1385867,23742.0
74545,1139328,11439.0
74580,1273678,23172.0
74595,1210039,41894.0
74675,1380232,408956.0
74679,1433856,
74685,455407,29427.0
74688,989757,22971.0
74698,808510,23023.0
74787,1188996,26022.0
74789,1014759,12155.0
74795,947810,22972.0
74851,1179034,26389.0
74916,1234654,27583.0
74944,1210042,26390.0
74946,815236,34016.0
75341,1403981,23169.0
75395,1323045,44363.0
75803,1305583,34563.0
75805,1038919,27573.0
75985,1053424,31867.0
76077,1231587,23048.0
76093,892769,10191.0
76175,800320,18823.0
76217,1445202,39830.0
76251,1250777,23483.0
76293,1279935,35056.0
76738,1583323,52903.0
76753,1390535,34583.0
76763,1017451,27586.0
77191,1321509,34803.0
77206,1196141,33217.0
77364,480255,34813.0
77414,1294226,35690.0
77421,1336617,39053.0
77455,1587707,39452.0
77561,1228705,10138.0
77629,1584813,45615.0
77665,1392197,38579.0
77667,1470023,37931.0
77672,1106860,27004.0
77798,1179056,23437.0
77800,1341167,37495.0
77818,1376195,43090.0
77820,492389,35169.0
77833,1640680,37828.0
77837,1132623,36950.0
77866,955308,20662.0
78034,1196204,36801.0
78039,1120985,46705.0
78041,1103153,37821.0
78088,1462758,26388.0
78105,473075,9543.0
78116,878835,40247.0
78128,1425257,37034.0
78174,1261945,37786.0
78209,1226229,32823.0
78218,914863,38199.0
78247,1546036,36736.0
78251,1247657,35217.0
78264,1212436,34806.0
78290,403645,38318.0
78316,892318,37056.0
78410,1392744,30695.0
78467,1075747,20533.0
78469,429493,34544.0
78499,435761,10193.0
78517,1568150,41397.0
78574,1399683,39013.0
78633,1540814,44999.0
78637,892791,10192.0
78679,954947,37414.0
78759,1117646,45371.0
78772,1325004,24021.0
78871,1381773,65043.0
78873,1570417,32866.0
78893,938283,10196.0
78974,1594971,
78976,1609157,40636.0
79057,1424381,34851.0
79091,1323594,20352.0
79132,1375666,27205.0
79134,1375670,38365.0
79139,963966,27022.0
79185,1013743,37834.0
79224,1155076,38575.0
79242,842926,39781.0
79251,1273235,73861.0
79293,944835,27576.0
79428,427152,38778.0
79430,1484522,40428.0
79463,1415283,35019.0
79515,1570966,32497.0
79553,1386932,37472.0
79570,1159712,63075.0
79572,493949,38843.0
79588,1438254,37950.0
79592,1386588,27581.0
79599,1268987,41135.0
79695,1320253,27578.0
79702,446029,22538.0
79720,1313092,44629.0
79741,1125387,96108.0
79769,1291465,37951.0
79796,1020558,23759.0
79824,1020938,44737.0
79842,1671630,79829.0
79850,1548865,44806.0
79860,997152,43549.0
79870,1280015,47912.0
79879,464154,43593.0
79895,1179025,35552.0
79974,1351224,29538.0
79987,1329457,31900.0
80026,411951,42194.0
80054,1394383,37259.0
80094,1320244,38358.0
80126,1440728,27579.0
80137,1587373,96451.0
80166,889573,41210.0
80185,1558250,40663.0
80193,1609145,139433.0
80204,1539086,103745.0
80219,985694,23631.0
80222,1193631,41233.0
80233,1315419,39240.0
80241,1322312,38073.0
80271,1059790,44222.0
80350,1666186,40264.0
80363,1220634,35791.0
80376,1328913,35716.0
80398,1167638,37645.0
80454,1428453,60678.0
80463,1285016,37799.0
80489,840361,23168.0
80498,1328867,85819.0
80549,1282140,37735.0
80551,879870,38167.0
80553,1049402,38568.0
80557,1047449,45778.0
80572,1356864,43939.0
80586,817177,43949.0
80588,1433813,44992.0
80590,1027718,33909.0
80615,1219342,41216.0
80617,1287468,39691.0
80655,1562847,72913.0
80680,1604900,40911.0
80693,804497,43923.0
80715,1511400,159186.0
80775,1486190,38961.0
80779,1301990,45077.0
80820,1447793,46198.0
80831,1228987,41402.0
80834,1727587,45745.0
80839,1028576,39486.0
80846,1314655,44040.0
80858,1414382,38303.0
80860,1055292,38408.0
80862,1584016,42296.0
80864,1182350,38031.0
80880,1423995,44113.0
80906,1645089,44639.0
80917,1470827,43933.0
80928,1646887,41994.0
80939,1244754,45094.0
80969,1334260,42188.0
81018,775489,41201.0
81080,1400526,46812.0
81083,1523483,46837.0
81111,1447508,44549.0
81132,1612774,45649.0
81138,445054,39681.0
81140,1179069,41505.0
81156,1116184,16290.0
81158,1559549,39312.0
81162,1241330,42307.0
81180,1320304,42941.0
81182,1662557,50475.0
81191,1566648,39440.0
81229,1245526,39514.0
81257,1340107,44716.0
81270,872230,43931.0
81330,1611931,201646.0
81383,1465487,41211.0
81385,1588337,46332.0
81417,1536044,41436.0
81427,1528718,46103.0
81429,1675758,48016.0
81451,1411232,48015.0
81456,1600524,51241.0
81512,1212419,44603.0
81516,1181791,41215.0
81520,1156466,38234.0
81535,1477076,41439.0
81537,1231583,41733.0
81562,1542344,44115.0
81564,1001526,38055.0
81591,947798,44214.0
81637,1230204,49953.0
81639,1278379,43943.0
81641,977855,38363.0
81711,1725156,48466.0
81725,1588875,38325.0
81727,1644577,103894.0
81744,1038685,44571.0
81751,1588895,38368.0
81782,477080,44048.0
81784,1126618,38357.0
81786,1020773,48303.0
81788,1458175,43539.0
81791,1421051,39210.0
81802,1519245,62103.0
81804,1235189,44147.0
81817,1321865,43434.0
81819,1164999,45958.0
81831,1467273,36940.0
81834,926084,12444.0
81845,1504320,45269.0
81847,398286,38757.0
81906,1441084,162643.0
81932,964517,45317.0
81949,1403988,41556.0
81993,1626201,48871.0
82005,1361313,47088.0
82022,1320291,49787.0
82037,1568334,43924.0
82053,1194417,45324.0
82093,1213648,48838.0
82095,1564585,42684.0
82097,1373156,34764.0
82102,1393020,37234.0
82115,1722515,52320.0
82152,1152398,38117.0
82154,1194236,37690.0
82167,758752,43347.0
82169,980970,10140.0
82173,1570989,47607.0
82175,1436560,80435.0
82202,1243957,37710.0
82242,1401143,48395.0
82244,798817,44982.0
82324,1571724,44160.0
82360,1583356,49901.0
82366,1270835,43919.0
82378,1175709,46503.0
82380,775543,48833.0
82447,1456941,43930.0
82449,1376709,46660.0
82459,1403865,44264.0
82461,1104001,20526.0
82463,1431181,44009.0
82499,1341188,42888.0
82527,1423894,46829.0
82534,1172991,44129.0
82667,1588170,49797.0
82744,1433108,41283.0
82765,1319718,35138.0
82767,935075,27585.0
82852,970866,39451.0
82854,1320261,38745.0
82926,1680136,48748.0
82928,1352388,52208.0
82931,1572491,56812.0
83006,1311087,56320.0
83067,1391034,33107.0
83086,1126591,42297.0
83089,1407055,82622.0
83132,1568921,51739.0
83134,1465522,46838.0
83138,1395183,38409.0
83177,1302067,41515.0
83180,1572769,50420.0
83264,1610452,52696.0
83270,1371155,46138.0
83293,1268204,46689.0
83302,1294688,23830.0
83332,756727,53079.0
83349,990407,40805.0
83369,1023114,49009.0
83374,1032751,46528.0
83450,1343703,50618.0
83478,1653690,43209.0
83480,479997,23047.0
83525,1462667,45284.0
83613,409847,49849.0
83619,1625098,49073.0
83801,1568923,58772.0
83803,1620446,40619.0
83827,1391092,52013.0
83842,1706414,111239.0
83910,1578275,44564.0
83912,1221208,55061.0
83976,1740047,63578.0
84017,1506940,48752.0
84019,1694015,47055.0
84116,1287878,47909.0
84128,1470024,55151.0
84137,1314652,45202.0
84152,1219289,51876.0
84156,1683876,89704.0
84160,1705977,52461.0
84189,1242432,43947.0
84234,1686313,55165.0
84242,1183923,31007.0
84260,1533084,32612.0
84273,1781069,54293.0
84304,1667150,62976.0
84374,1411238,41630.0
84392,1189340,50348.0
84395,1161864,48171.0
84407,1422020,43920.0
84444,1122614,50779.0
84506,1693830,51276.0
84532,1405500,44944.0
84557,893412,50217.0
84570,1555064,45272.0
84601,1401152,48138.0
84613,881320,48340.0
84615,1477837,52067.0
84621,1576699,46441.0
84637,377981,45772.0
84696,1320239,50204.0
84732,1452628,43552.0
84740,1448762,39959.0
84770,1638362,45274.0
84772,1092026,39513.0
84775,1322385,46789.0
84880,1424003,42171.0
84942,1502404,47327.0
84944,1192628,44896.0
84950,810922,50725.0
84952,1590089,54186.0
84954,1385826,38050.0
84957,1274300,113885.0
84974,1590050,
85007,1481572,47218.0
85020,472399,27582.0
85022,480687,48988.0
85025,1034389,49494.0
85056,1464540,46529.0
85129,1587729,51200.0
85131,1217613,44943.0
85190,1734477,54793.0
85211,1270842,57703.0
85213,1510938,56831.0
85261,1305591,50321.0
85291,1555747,53358.0
85293,1404830,40655.0
85295,1618435,47533.0
85305,1143896,45022.0
85342,1555149,47931.0
85365,1509276,59248.0
85367,1564367,50546.0
85372,1521848,51447.0
85394,1664894,59490.0
85397,1486185,49730.0
85399,1464174,38322.0
85401,1512235,45132.0
85412,1740707,46146.0
85414,945513,45612.0
85438,1229822,38684.0
85510,978764,23629.0
85527,1530975,55893.0
85540,1561768,48243.0
85555,1457766,45715.0
85565,1487118,58232.0
85567,1670632,53364.0
85624,1801038,593548.0
85763,1418646,43418.0
85774,1424432,58496.0
85783,1650416,60434.0
85788,1591095,49018.0
85790,1518812,57120.0
85796,1640459,49010.0
85881,1606392,55725.0
85885,1263750,48650.0
86000,1560139,39356.0
86014,1650043,60307.0
86028,1220888,53172.0
86059,1411704,50359.0
86096,1623008,59266.0
86137,1537401,63555.0
86142,1436045,58857.0
86145,1451762,41273.0
86190,993842,50456.0
86233,1648112,46523.0
86244,1291652,29920.0
86277,1437366,51423.0
86279,1194612,54527.0
86293,1334512,49012.0
86295,1262416,41446.0
86298,1436562,46195.0
86300,1599975,57695.0
86320,1527186,62215.0
86332,800369,10195.0
86345,1421373,45523.0
86355,480239,56780.0
86408,1529235,48415.0
86410,1334102,50671.0
86412,1606180,57118.0
86432,1229381,47904.0
86487,1492030,202241.0
86548,1067583,55787.0
86574,1853563,61488.0
86593,1223236,57586.0
86626,1438535,54083.0
86628,1416801,51209.0
86642,1497874,55934.0
86644,1596343,51497.0
86717,1371574,43908.0
86723,1504300,56113.0
86725,1620604,50272.0
86750,1339161,54524.0
86762,1691323,62321.0
86781,1255953,46738.0
86815,1596346,43959.0
86817,491152,49022.0
86833,1478338,55721.0
86835,822847,38321.0
86837,1681687,61420.0
86852,1321860,50780.0
86880,1298650,1865.0
86882,1605783,59436.0
86884,1827512,63831.0
86892,1527788,51608.0
86898,478304,8967.0
86911,1411697,45243.0
86922,1528313,52077.0
86943,1697920,70264.0
86970,1668078,359002.0
86985,1562450,131880.0
87000,1695994,42889.0
87004,1440266,57276.0
87028,1265990,49950.0
87047,1282153,53413.0
87079,1529572,44945.0
87098,1274645,83345.0
87100,1606789,57059.0
87105,1646926,51170.0
87192,1478964,59678.0
87194,1441912,59468.0
87197,1533117,51533.0
87205,1735485,46221.0
87222,1302011,49444.0
87232,1270798,49538.0
87234,1440292,49020.0
87279,1273241,25541.0
87287,1307861,70862.0
87298,1531663,45658.0
87302,1465505,41827.0
87304,1532503,55347.0
87306,1650062,37686.0
87314,979434,41382.0
87320,1522857,52918.0
87332,1616194,78400.0
87410,970926,44219.0
87430,1133985,44912.0
87444,1340773,56272.0
87469,1623742,64566.0
87483,1396218,58224.0
87485,1284575,52449.0
87499,1391137,35688.0
87520,1399103,38356.0
87522,1583420,59861.0
87527,1592876,57771.0
87529,1240982,38319.0
87568,1547230,60062.0
87589,1174693,44991.0
